Date,id,Type,Source,Amount,Fee,Net,Currency,Created (UTC),Available On (UTC),reason (metadata),amount (metadata),fromOurPlatform (metadata),note (metadata),invoiceId (metadata),storeId (metadata),domain (metadata),discount (metadata),freeShip (metadata),link (metadata),item (metadata),shippingFee (metadata),subTotal (metadata),tax (metadata),storeName (metadata),JournalType,StoreName,PartnerCode,ComCode,BankAccoutNumber
2025-11-19,txn_3SVBh2K3ZXYJSkRp1IOqhT0v,charge,ch_3SVBh2K3ZXYJSkRp146cE7Ih,64.98,2.7,62.28,usd,2025-11-19 13:45:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-E38C3,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/M"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVBuKK3ZXYJSkRp0vvXkPk2,charge,ch_3SVBuKK3ZXYJSkRp0iH5Ebfz,109.98,4.37,105.61,usd,2025-11-19 13:58:00,2025-11-26 00:00:00,,109.98,,,ZAAIC-191125-75A3R,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Combo 2 (Shaded Blue+Black) - Save More 10% OFF/S"",""quantity"":1,""unitAmount"":104.99}]",4.99,104.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVBvSK3ZXYJSkRp1JpboRH2,charge,ch_3SVBvSK3ZXYJSkRp1UJtnYJl,64.98,2.7,62.28,usd,2025-11-19 14:00:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-JM39S,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/M"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVBvyK3ZXYJSkRp1LE9ljij,charge,ch_3SVBvyK3ZXYJSkRp1g1lEOAI,64.98,2.7,62.28,usd,2025-11-19 14:00:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-NJ399,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/S"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVC1sK3ZXYJSkRp13NQ9lRZ,charge,ch_3SVC1sK3ZXYJSkRp1UCdmU2o,64.98,2.7,62.28,usd,2025-11-19 14:06:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-HNNZJ,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Black/XL"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVC1wK3ZXYJSkRp0rRac6sT,charge,ch_3SVC1wK3ZXYJSkRp0ojPxql2,39.98,1.78,38.2,usd,2025-11-19 14:06:00,2025-11-26 00:00:00,,39.98,,,O9UBC-191125-E8K35,,,,,-https://agmonz.com/breasts,"[{""name"":""HOT SALE 49% Breathable Anti-Sagging Breasts Bra - Beige/S"",""quantity"":1,""unitAmount"":34.99}]",4.99,34.99,0,FFT KVC,STRIPE_RECEIPT_CUSTOMER,KVC,,ZENIROXPAY,
2025-11-19,txn_3SVCC2K3ZXYJSkRp05cEAhpU,charge,ch_3SVCC2K3ZXYJSkRp0tG0QCRy,109.98,4.37,105.61,usd,2025-11-19 14:17:00,2025-11-26 00:00:00,,109.98,,,ZAAIC-191125-9D6Z4,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Combo 2 (Shaded Blue+Black) - Save More 10% OFF/S"",""quantity"":1,""unitAmount"":104.99}]",4.99,104.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVCEIK3ZXYJSkRp1Ux6z8KW,charge,ch_3SVCEIK3ZXYJSkRp1ERouRPF,64.98,2.7,62.28,usd,2025-11-19 14:19:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-VTC9T,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/L"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-27,txn_1SY9fzK3ZXYJSkRpn1YfDSal,adjustment,du_1SY9fnK3ZXYJSkRpIvizf22u,-64.98,15,-79.98,usd,2025-11-27 18:12:00,2025-11-27 18:12:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2025-12-03,txn_1Sa9MkK3ZXYJSkRpBMWZ0RnM,stripe_fee,,-10.69,0,-10.69,usd,2025-12-03 06:16:00,2025-12-03 06:16:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
2025-12-04,txn_1SaXd8K3ZXYJSkRpWycKnFa4,payout,po_1SaXd8K3ZXYJSkRphMWIxIuE,-1000,0,-1000,usd,2025-12-04 08:11:00,2025-12-04 08:11:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
2025-12-13,txn_1SdvOXK3ZXYJSkRp1jp7dOUi,adjustment,du_1SY9fnK3ZXYJSkRpIvizf22u,64.98,0,64.98,usd,2025-12-13 16:10:00,2025-12-13 16:10:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2025-12-14,txn_1Se8DHK3ZXYJSkRpQlSzqinH,stripe_fee,,10.69,0,10.69,usd,2025-12-14 05:51:00,2025-12-14 05:51:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
2025-12-24,txn_1ShgvZK3ZXYJSkRpwi1bkmHM,adjustment,du_1ShgvKK3ZXYJSkRpTasQGPB6,-46.94,15,-61.94,usd,2025-12-24 01:31:00,2025-12-24 01:31:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2025-12-26,txn_3ShGk1K3ZXYJSkRp0B6xFjc8,refund,ch_3ShGk1K3ZXYJSkRp0PXrjqDc,-34.98,0,-34.98,usd,2025-12-26 06:32:00,2025-12-29 00:00:00,Customer request - cancel,34.98,true,Customer request - cancel,HUJGB-221225-YAZHA,,,,,,,,,,,STRIPE_REFUND,,,ZENIROXPAY,
2025-12-29,txn_1SjUZHK3ZXYJSkRpHNYoo8lN,payout,po_1SjUZHK3ZXYJSkRp9rZ1iO53,-7000,0,-7000,usd,2025-12-29 00:44:00,2025-12-29 00:44:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
2025-12-31,txn_1SkQz8K3ZXYJSkRpwvngCmPu,adjustment,du_1SkQyuK3ZXYJSkRp2ZvuX5hH,-34.98,15,-49.98,usd,2025-12-31 15:06:00,2025-12-31 15:06:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2026-01-02,txn_1Sl7GaK3ZXYJSkRpz7ltDm2H,adjustment,du_1Sl7GMK3ZXYJSkRpcIF4ilfU,-34.98,15,-49.98,usd,2026-01-02 12:15:00,2026-01-02 12:15:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2026-01-06,txn_1SmR9iK3ZXYJSkRpPlCJKtRu,payout,po_1SmR9iK3ZXYJSkRpMoQEuhZN,-4500,0,-4500,usd,2026-01-06 03:42:00,2026-01-06 03:42:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
2026-01-06,txn_3SkvtfK3ZXYJSkRp1j1ekITp,refund,ch_3SkvtfK3ZXYJSkRp16T464Yi,-34.98,0,-34.98,usd,2026-01-06 06:59:00,2026-01-07 00:00:00,Customer request - cancel,34.98,true,Customer request - cancel,HUJGB-010126-VWMX5,,,,,,,,,,,STRIPE_REFUND,,,ZENIROXPAY,
2026-01-07,txn_1SmnOVK3ZXYJSkRpuuMryvvZ,payout,po_1SmnOVK3ZXYJSkRp28QzeUFi,-5200,0,-5200,usd,2026-01-07 03:26:00,2026-01-07 03:26:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
2026-01-07,txn_1Smoj3K3ZXYJSkRpj6XiR9l0,stripe_fee,,-10.96,0,-10.96,usd,2026-01-07 04:52:00,2026-01-07 04:52:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
2026-01-07,txn_1Smoj3K3ZXYJSkRpB1yxJ1YV,stripe_fee,,-10.95,0,-10.95,usd,2026-01-07 04:52:00,2026-01-07 04:52:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
2026-01-08,txn_1Sn9CvK3ZXYJSkRpqGocwD4o,adjustment,du_1Sn9CkK3ZXYJSkRpfvosEmi8,-64.97,15,-79.97,usd,2026-01-08 02:44:00,2026-01-08 02:44:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2026-01-08,txn_1Sn9VkK3ZXYJSkRpfGqi7TyY,payout,po_1Sn9VkK3ZXYJSkRpX98uYc4o,-5000,0,-5000,usd,2026-01-08 03:03:00,2026-01-08 03:03:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
2026-01-13,txn_3SkvvIK3ZXYJSkRp1nxhbsMZ,refund,ch_3SkvvIK3ZXYJSkRp16vY0bn6,-34.98,0,-34.98,usd,2026-01-13 09:59:00,2026-01-13 09:59:00,Customer request - cancel,34.98,true,Customer request - cancel,HUJGB-010126-HRW6X,,,,,,,,,,,STRIPE_REFUND,,,ZENIROXPAY,
2026-01-13,txn_1Sp7DHK3ZXYJSkRp88zQfWHk,adjustment,du_1Sp7D4K3ZXYJSkRpJq64XbGF,-34.98,15,-49.98,usd,2026-01-13 13:00:00,2026-01-13 13:00:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2026-01-14,txn_1SpM9QK3ZXYJSkRpKRWZRMr2,stripe_fee,,-10.93,0,-10.93,usd,2026-01-14 04:57:00,2026-01-14 04:57:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
2026-01-14,txn_1SpYZ9K3ZXYJSkRpZdkozfCz,adjustment,du_1SpYYxK3ZXYJSkRplB3bxYsz,-34.98,15,-49.98,usd,2026-01-14 18:13:00,2026-01-14 18:13:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2026-01-15,txn_1SpgmTK3ZXYJSkRpIgH8C0JG,payout,po_1SpgmTK3ZXYJSkRpL5qfOfll,-3000,0,-3000,usd,2026-01-15 02:59:00,2026-01-15 02:59:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
2026-01-16,txn_1Sq55aK3ZXYJSkRpMJj5rtBk,stripe_fee,,-10.82,0,-10.82,usd,2026-01-16 04:56:00,2026-01-16 04:56:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
